Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"-0,000371652512996233","-7,6212050768252E-05","0,00706850750667908",0,0,0,"0,31171709658584","0,000378155460405935","1,79329505625064E-08","1,05917115821183E-07","0,00337223260578799","-3,83480428707601E-08","0,00374103438963752",0,0,0,0,0,0,package://URDF FINAL.SLDASM/meshes/base_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://URDF FINAL.SLDASM/meshes/base_link.STL,,Socle-1;bracket2-14;LX-16A-29;bracket2-2;LX-16A-5;bracket2-3;LX-16A-7;link0-1/bracket2-1;link0-1/LX-16A-1,Repere de base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LinkHARG,"-0,012906648173912","-0,00078119447185733","0,0623046560363092",0,0,0,"0,0309558566774551","5,932719856043E-06","-4,13817952529259E-10","-2,73209087956018E-08","5,73599012006718E-06","8,46304568574459E-09","2,8830072681229E-06",0,0,0,0,0,0,package://URDF FINAL.SLDASM/meshes/LinkHARG.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://URDF FINAL.SLDASM/meshes/LinkHARG.STL,,lx16a_bracket_2-13;bracket_bottom-13;LX-16A-28,RepereHARG,Axe HARG,JointHARG,revolute,"0,17172","-0,07755","0,02505","-1,5708",0,"1,5708",base_link,0,0,1,"1,47",300,"-3,14","3,14",,,,,,,,
LinkCARG,"0,034285357442195","-6,81634927731933E-05","0,0569528430999679",0,0,0,"0,0853307422974554","1,00333734976567E-05","2,24604730233501E-07","3,64749412861335E-08","0,000177291740670532","-6,58872208014042E-09","0,000182759546669258",0,0,0,0,0,0,package://URDF FINAL.SLDASM/meshes/LinkCARG.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://URDF FINAL.SLDASM/meshes/LinkCARG.STL,,lx16a_bracket_1-15;Interieur_de_cuisse-16;Cuisse-16;LX-16A pour mollet-16,RepereCARG,Axe CARG,JointCARG,revolute,"0,00803293802185018","-0,000395178595675033","0,0890500000000001","-1,5707963267949","0,000532277886633281","1,58678798803852",LinkHARG,0,0,1,"1,47",300,"-3,14","3,14",,,,,,,,
LinkMARG,"0,00707659336104521","-0,06165159931668","0,00948708252537361",0,0,0,"0,0218299396435167","7,73940797794777E-05","6,30484270055536E-06","-1,0083350429203E-07","1,67880273610035E-06","1,23599673936585E-06","7,89425244152643E-05",0,0,0,0,0,0,package://URDF FINAL.SLDASM/meshes/LinkMARG.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://URDF FINAL.SLDASM/meshes/LinkMARG.STL,,Mollet-17;Bearing 624 ZZ-45,RepereMARG,Axe MARG,JointMARG,revolute,"0,138643980359709","-8,31097087421739E-05","0,044","0,0159916612417833",0,"1,57026404890826",LinkCARG,0,"0,0159909796506353","0,999872136110319","1,47",300,"-3,14","3,14",,,,,,,,
LinkHARD,"-0,0129066481472908","-0,000781194441520854","0,0623046560382911",0,0,0,"0,0309558566960984","5,93271985311116E-06","-4,13817780336039E-10","-2,73209232754365E-08","5,73599011527687E-06","8,46303706766441E-09","2,88300726918365E-06",0,0,0,0,0,0,package://URDF FINAL.SLDASM/meshes/LinkHARD.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://URDF FINAL.SLDASM/meshes/LinkHARD.STL,,lx16a_bracket_2-1;bracket_bottom-1;LX-16A-4,RepereHARD,Axe HARD,JointHARD,revolute,"0,171617631396529","0,077","0,02505","1,5707963267949",0,"-1,5707963267949",base_link,0,0,1,"1,47",300,"-3,14","3,14",,,,,,,,
LinkCARD,"0,034285325080835","-0,000124226889184301","0,0569528450184878",0,0,0,"0,0853307474352217","1,00330640280698E-05","-6,62620667156827E-08","3,64749630159922E-08","0,000177292051017909","-6,58874638121254E-09","0,000182759547460954",0,0,0,0,0,0,package://URDF FINAL.SLDASM/meshes/LinkCARD.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://URDF FINAL.SLDASM/meshes/LinkCARD.STL,,lx16a_bracket_1-3;Interieur_de_cuisse-4;Cuisse-4;LX-16A pour mollet-4,RepereCARD,Axe CARD,JointCARD,revolute,"0,00803293802184887","-0,000395178595675061","0,0890499999999999","1,5707963267949","-0,000532277886633678","-1,55480466555127",LinkHARD,0,0,1,"1,47",300,"-3,14","3,14",,,,,,,,
LinkMARD,"-0,00707659336067615","-0,0619234459707683","0,00751074378850068",0,0,0,"0,0218299396435167","7,73940797794724E-05","-6,30484270059207E-06","-1,00833504292651E-07","1,67880273610603E-06","-1,23599673936618E-06","7,89425244152646E-05",0,0,0,0,0,0,package://URDF FINAL.SLDASM/meshes/LinkMARD.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://URDF FINAL.SLDASM/meshes/LinkMARD.STL,,Mollet-5;Bearing 624 ZZ-8,RepereMARD,Axe MARD,JointMARD,revolute,"0,138643980359709","-8,31097087420213E-05","0,044","-0,015991661241784",0,"1,57026404890826",LinkCARD,0,"0,0159909796506353","-0,999872136110319","1,47",300,"-3,14","3,14",,,,,,,,
LinkHAVG,"0,0129066485638822","0,0007811949279505","0,0623046544934139",0,0,0,"0,0309558552856347","5,93271938092282E-06","-4,13801013590467E-10","2,73209128752493E-08","5,73598985019417E-06","-8,46310151057438E-09","2,88300701450027E-06",0,0,0,0,0,0,package://URDF FINAL.SLDASM/meshes/LinkHAVG.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://URDF FINAL.SLDASM/meshes/LinkHAVG.STL,,link1-1/lx16a_bracket_2-1;link1-1/bracket_bottom-1;link1-1/LX-16A-1,RepereHAVG,Axe HAVG,JointHAVG,revolute,"-0,128101968987838","-0,0774116524467705","0,02505","1,5707963267949",0,"-1,56445635443686",base_link,0,0,1,"1,47",300,"-3,14","3,14",,,,,,,,
LinkCAVG,"-0,0342853574572784","6,81634971255729E-05","0,0569528430953187",0,0,0,"0,0853307422518494","1,00333734944544E-05","2,2460473200546E-07","-3,64749414442696E-08","0,000177291740669512","6,58872179490005E-09","0,000182759546665101",0,0,0,0,0,0,package://URDF FINAL.SLDASM/meshes/LinkCAVG.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://URDF FINAL.SLDASM/meshes/LinkCAVG.STL,,link2-1/lx16a_bracket_1-1;link2-1/Interieur_de_cuisse-1;link2-1/Cuisse-1;link2-1/LX-16A pour mollet-1,RepereCAVG,Axe CAVG,JointCAVG,revolute,"-0,00848204988900204","0,000388001087966081","0,0891515714650277","1,56445716451276","-0,00043088550192966","1,58679104087123",LinkHAVG,0,0,1,"1,47",300,"-3,14","3,14",,,,,,,,
LinkMAVG,"-0,000141152099477099","0,062048729727184","0,00990191871360467",0,0,0,"0,0218299396435168","7,78498331361691E-05","-2,24403855667074E-06","-3,58889637945259E-08","1,22316592075207E-06","-1,24328375015402E-06","7,89424078739221E-05",0,0,0,0,0,0,package://URDF FINAL.SLDASM/meshes/LinkMAVG.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://URDF FINAL.SLDASM/meshes/LinkMAVG.STL,,Mollet-16;Bearing 624 ZZ-44,RepereMAVG,Axe MAVG,JointMAVG,revolute,"-0,138643980359709","8,31097087420907E-05","0,044","-0,0159916612417817",0,"1,57026404890826",LinkCAVG,0,"-0,0159909796506353","0,999872136110319","1,47",300,"-3,14","3,14",,,,,,,,
