Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"2,6021E-18",0,"0,042427",0,0,0,"2,3354","0,0226","1,9475E-18","-9,812E-19","0,0055193","-9,7804E-18","0,023397",0,0,0,0,0,0,package://quadrobot/meshes/base_link.STL,"0,89804","0,91765","0,92941",1,0,0,0,0,0,0,package://quadrobot/meshes/base_link.STL,,Body-1;Rouli-1;Rouli-2;Rouli-4;Rouli-3,Repere de base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FLA,"-0,026925","-1,7347E-18","0,01",0,0,0,"0,010945","5,032E-07","-2,2747E-22","2,1072E-22","2,8775E-06","2,9129E-23","3,0936E-06",0,0,0,0,0,0,package://quadrobot/meshes/FLA.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://quadrobot/meshes/FLA.STL,,None-1,Origin_joint_FLA,Axis_joint_FLA,joint_FLA,revolute,"0,03","-0,055","0,005","-1,5708","0,0092604","-3,1416",base_link,0,0,1,"1,47","5,81","-1,57","1,57",,,,,,,,
FLB,"3,4694E-18","-0,05","0,0056809",0,0,0,"0,073578","6,1746E-05","-3,5999E-21","-7,4115E-22","6,7263E-06","2,29E-20","6,7246E-05",0,0,0,0,0,0,package://quadrobot/meshes/FLB.STL,"0,89804","0,91765","0,92941",1,0,0,0,0,0,0,package://quadrobot/meshes/FLB.STL,,Thigh-1,Origin_joint_FLB,Axis_joint_FLB,joint_FLB,revolute,"-0,039319",0,"0,01","-1,5708","0,35696","1,5708",FLA,0,0,1,"1,47","5,81","-1,57","1,57",,,,,,,,
FLC,"-5,5511E-17","-0,054909","0,0061924",0,0,0,"0,077166","7,7817E-05","-7,9383E-20","4,566E-22","5,639E-06","-7,5273E-21","8,217E-05",0,0,0,0,0,0,package://quadrobot/meshes/FLC.STL,"0,89804","0,91765","0,92941",1,0,0,0,0,0,0,package://quadrobot/meshes/FLC.STL,,Shank-1,Origin_joint_FLC,Axis_joint_FLC,joint_FLC,revolute,0,"-0,1","0,0094885",0,0,"1,1668",FLB,0,0,1,"1,47","5,81","-1,57","1,57",,,,,,,,
FRA,"-0,0269253957823772",0,"0,01",0,0,0,"0,0109452431127404","5,03196139245203E-07","-3,14328632770151E-23","9,86921140643361E-23","2,87751254725242E-06","1,66376389752816E-23","3,09356821283229E-06",0,0,0,0,0,0,package://quadrobot/meshes/FRA.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://quadrobot/meshes/FRA.STL,,None-2,Origin_joint_FRA,Axis_joint_FRA,joint_FRA,revolute,"-0,03","-0,055","0,005","1,5708","0,022451",0,base_link,0,0,1,"1,47","5,81","-1,57","1,57",,,,,,,,
FRB,"2,7756E-17","-0,05","-0,004995",0,0,0,"0,073578","6,1746E-05","3,007E-20","8,4703E-22","6,7263E-06","5,0756E-21","6,7246E-05",0,0,0,0,0,0,package://quadrobot/meshes/FRB.STL,"0,89804","0,91765","0,92941",1,0,0,0,0,0,0,package://quadrobot/meshes/FRB.STL,,Thigh-2,Origin_joint_FRB,Axis_joint_FRB,joint_FRB,revolute,"-0,040005",0,"0,01","-1,5708","0,33034","-1,5708",FRA,0,0,1,"1,47","5,81","-1,57","1,57",,,,,,,,
FRC,"-8,3267E-17","-0,054909","-0,004995",0,0,0,"0,077166","7,7817E-05","2,3042E-20","-1,9257E-21","5,639E-06","3,2703E-20","8,217E-05",0,0,0,0,0,0,package://quadrobot/meshes/FRC.STL,"0,89804","0,91765","0,92941",1,0,0,0,0,0,0,package://quadrobot/meshes/FRC.STL,,Shank-2,Origin_joint_FRC,Axis_joint_FRC,joint_FRC,revolute,0,"-0,1","-0,01",0,0,"1,2033",FRB,0,0,1,"1,47","5,81","-1,57","1,57",,,,,,,,
BLA,"-0,0269253957823772","8,67361737988404E-19","0,01",0,0,0,"0,0109452431127404","5,03196139245203E-07","1,7908460261773E-22","-1,25428718015424E-21","2,87751254725242E-06","-1,69665031772835E-23","3,09356821283229E-06",0,0,0,0,0,0,package://quadrobot/meshes/BLA.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://quadrobot/meshes/BLA.STL,,None-4,Origin_joint_BLA,Axis_joint_BLA,joint_BLA,revolute,"0,03","0,055","0,005","1,5708","-0,0079223","3,1416",base_link,0,0,1,"1,47","5,81","-1,57","1,57",,,,,,,,
BLB,"-2,7756E-17","-0,05","0,0049994",0,0,0,"0,073578","6,1746E-05","-3,4517E-20","3,1234E-21","6,7263E-06","2,5262E-21","6,7246E-05",0,0,0,0,0,0,package://quadrobot/meshes/BLB.STL,"0,89804","0,91765","0,92941",1,0,0,0,0,0,0,package://quadrobot/meshes/BLB.STL,,Thigh-4,Origin_joint_BLB,Axis_joint_BLB,joint_BLB,revolute,"-0,040001",0,"0,01","-1,5708","-0,28877","1,5708",BLA,0,0,1,"1,47","5,81","-1,57","1,57",,,,,,,,
BLC,"5,5511E-17","-0,054909","0,0049994",0,0,0,"0,077166","7,7817E-05","7,8185E-20","-1,2079E-21","5,639E-06","-2,4154E-22","8,217E-05",0,0,0,0,0,0,package://quadrobot/meshes/BLC.STL,"0,89804","0,91765","0,92941",1,0,0,0,0,0,0,package://quadrobot/meshes/BLC.STL,,Shank-4,Origin_joint_BLC,Axis_joint_BLC,joint_BLC,revolute,0,"-0,1","0,01",0,0,"-1,2863",BLB,0,0,1,"1,47","5,81","-1,57","1,57",,,,,,,,
